no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
392,F0,1,F0-1,P,P,poor,,,f,0.8,7.5,4,11.5,,1.431
518,F0,6,F0-6,P,P,poor,,,f,0.9,7.5,4,11.5,,1.477
393,F0,1,F0-1,P,P,poor,,,f,0.9,7.5,4,11.5,,1.514
646,F0,8,F0-8,P,P,poor,,,f,0.9,9.5,4,13.5,,1.531
512,F0,4,F0-4,P,P,poor,,,f,1.5,7.5,4,11.5,25,1.535
513,F0,4,F0-4,P,P,poor,,,f,0.9,7.5,4,11.5,,1.575
521,F0,7,F0-7,P,P,poor,,,f,1.1,7.5,4,11.5,,1.578
411,F0,5,F0-5,P,P,poor,,,f,1,6.5,4,10.5,,1.618
536,F0,10,F0-10,P,P,poor,,,f,0.9,6.5,4,10.5,14,1.638
570,F0,10,F0-10,P,P,poor,,,f,0.8,7.5,3,10.5,,1.64
610,F0,10,F0-10,P,P,poor,,,f,0.6,8.5,4,12.5,20,1.649
489,F0,11,F0-11,S,S,std,,,f,1.4,5.5,4,9.5,36,1.67
516,F0,5,F0-5,P,P,poor,,,f,0.9,7.5,4,11.5,,1.679
339,F0,2,F0-2,P,P,poor,,,f,1,6.5,5,11.5,,1.684
545,F0,8,F0-8,P,P,poor,,,f,1.2,6.5,4,10.5,19,1.689
633,F0,11,F0-11,P,P,poor,,,f,1.3,7.5,4,11.5,,1.691
455,F0,5,F0-5,P,P,poor,,,f,1,6.5,4,10.5,20,1.696
565,F0,9,F0-9,P,P,poor,,,f,1.5,7.5,4,11.5,,1.705
402,F0,3,F0-3,P,P,poor,,,f,0.9,7.5,4,11.5,,1.707
631,F0,5,F0-5,S,S,std,,,f,1.4,9.5,5,14.5,,1.715
537,F0,10,F0-10,P,P,poor,,,f,0.9,6.5,4,10.5,,1.719
412,F0,5,F0-5,P,P,poor,,,f,1,6.5,4,10.5,,1.722
609,F0,9,F0-9,P,P,poor,,,f,0.9,8.5,4,12.5,,1.727
