instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
The University of Alabama,Southeastern Conference,Alabama,2014,29498,5997100,129300462,153234273,9826
The University of Alabama,Southeastern Conference,Alabama,2013,29498,5856429,123922294,145395976,9450
The University of Alabama,Southeastern Conference,Alabama,2012,29498,5631947,116088855,128805006,9200
The University of Alabama,Southeastern Conference,Alabama,2011,29498,5553995,117265880,132077365,8600
The University of Alabama,Southeastern Conference,Alabama,2010,29498,5394500,107198051,141407566,7900
Auburn University,Southeastern Conference,Alabama,2014,21093,4384800,127340380,113716004,10200
Auburn University,Southeastern Conference,Alabama,2013,21093,4364193,105724163,104848415,9852
Auburn University,Southeastern Conference,Alabama,2012,21093,4348442,100165618,109263873,9446
Auburn University,Southeastern Conference,Alabama,2011,21093,4569227,106615502,110312285,8298
Auburn University,Southeastern Conference,Alabama,2010,21093,5699543,98475521,100319894,7900
Arizona State University-Tempe,Pacific-12 Conference,Arizona,2014,42498,10073205,74553104,74729269,10156
Arizona State University-Tempe,Pacific-12 Conference,Arizona,2013,42498,10234400,66339074,66413673,10002
Arizona State University-Tempe,Pacific-12 Conference,Arizona,2012,42498,10667246,67638542,61726921,9724
Arizona State University-Tempe,Pacific-12 Conference,Arizona,2011,42498,11309929,60555635,58660096,9720
Arizona State University-Tempe,Pacific-12 Conference,Arizona,2010,42498,11210959,62725197,61208258,8132
University of Arizona,Pacific-12 Conference,Arizona,2014,35388,7901134,95524260,99911034,10957
University of Arizona,Pacific-12 Conference,Arizona,2013,35388,7409429,69021905,69282587,10391
University of Arizona,Pacific-12 Conference,Arizona,2012,35388,7483345,79203953,80463686,10035
University of Arizona,Pacific-12 Conference,Arizona,2011,35388,7846853,62067830,63295071,9299
University of Arizona,Pacific-12 Conference,Arizona,2010,35388,7271511,61656698,62956364,8237
University of Arkansas,Southeastern Conference,Arkansas,2014,20379,1936405,94745423,96793972,8210
University of Arkansas,Southeastern Conference,Arkansas,2013,20379,2050275,94291663,100894608,7818
University of Arkansas,Southeastern Conference,Arkansas,2012,20379,2010122,86193144,102876451,7553
University of Arkansas,Southeastern Conference,Arkansas,2011,20379,1963148,85381792,97354419,7174
University of Arkansas,Southeastern Conference,Arkansas,2010,20379,1836051,77778192,84570837,6768
University of California-Berkeley,Pacific-12 Conference,California,2014,34675,4982173,76446271,90262142,12972
University of California-Berkeley,Pacific-12 Conference,California,2013,34675,7652469,94054538,95551638,12864
University of California-Berkeley,Pacific-12 Conference,California,2012,34675,9815701,73267788,73408989,12874
University of California-Berkeley,Pacific-12 Conference,California,2011,34675,11145385,69022475,69214669,12835
University of California-Berkeley,Pacific-12 Conference,California,2010,34675,13106008,75117779,75117800,12462
University of California-Los Angeles,Pacific-12 Conference,California,2014,39794,2711272,86426780,86426780,13029
University of California-Los Angeles,Pacific-12 Conference,California,2013,39794,2656999,84872028,84872028,12696
University of California-Los Angeles,Pacific-12 Conference,California,2012,39794,2862447,73974507,73974507,12692
University of California-Los Angeles,Pacific-12 Conference,California,2011,39794,2744947,70021825,70021825,12686
University of California-Los Angeles,Pacific-12 Conference,California,2010,39794,3044406,67025616,67025616,10781
University of Colorado Boulder,Pacific-12 Conference,Colorado,2014,26242,12209473,64303100,64226758,10789
University of Colorado Boulder,Pacific-12 Conference,Colorado,2013,26242,7177378,67074576,58991393,10529
University of Colorado Boulder,Pacific-12 Conference,Colorado,2012,26242,16412999,55953627,58884093,9482
University of Colorado Boulder,Pacific-12 Conference,Colorado,2011,26242,16462803,62789556,64631905,9152
University of Colorado Boulder,Pacific-12 Conference,Colorado,2010,26242,7939654,52635282,53643341,8511
