unitid,"instnm","chronname","conference","city","state","nickname",year,"url",full_time_enrollment,inflation_adjusted_ticket_sales,inflation_adjusted_student_fees,inflation_adjusted_direct_state_govt_support,inflation_adjusted_direct_institutional_support,inflation_adjusted_indirect_facil_admin_support,inflation_adjusted_ncaa_distributions,inflation_adjusted_royalties,inflation_adjusted_tv_revenue,inflation_adjusted_endowments,inflation_adjusted_athletic_revenues,inflation_adjusted_other_revenues,inflation_adjusted_athletic_expenses,inflation_adjusted_subsidy,inflation_adjusted_subsidyproportion,inflation_adjusted_institutional_subsidy,inflation_adjusted_institutionalsubsidy_proportion,inflation_adjusted_net_revenue,inflation_adjusted_net_revenue_before_subsidy,inflation_adjusted_external_revenue,ticket_sales,student_fees,direct_state_govt_support,direct_institutional_support,indirect_facil_admin_support,ncaa_distributions,royalties,tv_revenue,endowments,athletic_revenues,other_revenues,athletic_expenses,subsidy,subsidyproportion,institutional_subsidy,institutionalsubsidy_proportion,net_revenue,net_revenue_before_subsidy,external_revenue,instate_tuition
100751,"The University of Alabama","University of Alabama at Tuscaloosa","Southeastern Conference","Tuscaloosa","Alabama","Crimson Tide",2014,"university-of-alabama-tuscaloosa-fy2014.pdf",29498,37219343,0,0,5997100,0,23282201,15471366,13662940,10736649,153234273,71264263,129300462,5997100,0.0391368,5997100,0.0391368,23933811,17936711,147237173,37219343,0,0,5997100,0,23282201,15471366,13662940,10736649,153234273,71264263,129300462,5997100,0.0391368,5997100,0.0391368,23933811,17936711,147237173,9826
100751,"The University of Alabama","University of Alabama at Tuscaloosa","Southeastern Conference","Tuscaloosa","Alabama","Crimson Tide",2013,"university-of-alabama-tuscaloosa-fy2013.pdf",29498,39342738,0,0,5856429,0,24124630,11329369,11050055,6055048,145395976,64742810,123922294,5856429,0.0402792,5856429,0.0402792,21473682,15617253,139539547,38904537,0,0,5791200,0,23855929,11203182,10926979,5987607,143776550,64021702,122542043,5791200,0.0402792,5791200,0.0402792,21234507,15443307,137985350,9450
100751,"The University of Alabama","University of Alabama at Tuscaloosa","Southeastern Conference","Tuscaloosa","Alabama","Crimson Tide",2012,"university-of-alabama-tuscaloosa-fy2012.pdf",29498,34076367,0,0,5631947,0,23288023,10302119,10266216,411123,128805006,55506549,116088855,5631947,0.0437246,5631947,0.0437246,12716150,7084203,123173058,33043253,0,0,5461200,0,22581986,9989783,9954969,398659,124899945,53823723,112569318,5461200,0.0437246,5461200,0.0437246,12330627,6869427,119438745,9200
100751,"The University of Alabama","University of Alabama at Tuscaloosa","Southeastern Conference","Tuscaloosa","Alabama","Crimson Tide",2011,"university-of-alabama-tuscaloosa-fy2011.pdf",29498,33642924,0,0,5553995,0,22643157,8212119,9103220,7441935,132077365,62025171,117265880,5553995,0.0420511,5553995,0.0420511,14811485,9257490,126523371,31712455,0,0,5235300,0,21343867,7740898,8580867,7014908,124498616,58466096,110537031,5235300,0.0420511,5235300,0.0420511,13961585,8726285,119263316,8600
100751,"The University of Alabama","University of Alabama at Tuscaloosa","Southeastern Conference","Tuscaloosa","Alabama","Crimson Tide",2010,"university-of-alabama-tuscaloosa-fy2010.pdf",29498,32361560,0,0,5394500,0,23060476,10042563,9147549,13065951,141407566,70548467,107198051,5394500,0.0381486,5394500,0.0381486,34209515,28815015,136013066,29874977,0,0,4980000,0,21288565,9270917,8444674,12061995,130542153,65127694,98961214,4980000,0.0381486,4980000,0.0381486,31580939,26600939,125562153,7900
100858,"Auburn University","Auburn University","Southeastern Conference","Auburn","Alabama","Tigers",2014,"auburn-fy2014.pdf",21093,29833441,4384800,0,0,0,23410336,5275554,6357837,1208553,113716004,50811873,127340380,4384800,0.0385592,0,0,-13624376,-18009176,109331204,29833441,4384800,0,0,0,23410336,5275554,6357837,1208553,113716004,50811873,127340380,4384800,0.0385592,0,0,-13624376,-18009176,109331204,10200
100858,"Auburn University","Auburn University","Southeastern Conference","Auburn","Alabama","Tigers",2013,"auburn-fy2013.pdf",21093,28815507,4364193,0,0,0,21226534,5276373,6190703,1098932,104848415,45165808,105724163,4364193,0.0416238,0,0,-875748,-5239941,100484222,28494559,4315584,0,0,0,20990112,5217605,6121751,1086692,103680609,44662749,104546603,4315584,0.0416238,0,0,-865994,-5181578,99365025,9852
100858,"Auburn University","Auburn University","Southeastern Conference","Auburn","Alabama","Tigers",2012,"auburn-fy2012.pdf",21093,30155495,4348442,0,0,0,22096819,7101743,5929995,873677,109263873,45561374,100165618,4348442,0.0397976,0,0,9098255,4749813,104915431,29241252,4216608,0,0,0,21426896,6886435,5750212,847189,105951253,44180062,97128835,4216608,0.0397976,0,0,8822418,4605810,101734645,9446
100858,"Auburn University","Auburn University","Southeastern Conference","Auburn","Alabama","Tigers",2011,"auburn-fy2011.pdf",21093,30740664,4569227,0,0,0,23084933,5468791,5856025,1976361,110312285,46448670,106615502,4569227,0.0414208,0,0,3696783,-872445,105743058,28976730,4307040,0,0,0,21760293,5154986,5520000,1862955,103982441,43783392,100497784,4307040,0.0414208,0,0,3484657,-822383,99675401,8298
100858,"Auburn University","Auburn University","Southeastern Conference","Auburn","Alabama","Tigers",2010,"auburn-fy2010.pdf",21093,26790663,5699543,0,0,0,21281236,3454206,5023607,2096592,100319894,43094246,98475521,5699543,0.0568137,0,0,1844373,-3855170,94620351,24732134,5261604,0,0,0,19646038,3188793,4637605,1935495,92611558,39782989,90908902,5261604,0.0568137,0,0,1702656,-3558948,87349954,7900
